symbol,strategy,entry_time,exit_time,entry_price,exit_price,direction,leverage,pnl,pnl_pct,reason
ETHUSDT,A,2025-05-09 08:00:00,2025-05-09 20:00:00,2412.88,2340.0,1,8.116199574301229,-2451.4630855039413,-0.24514630855039415,WEAK_SIGNAL
ETHUSDT,A,2025-05-10 00:00:00,2025-05-10 12:00:00,2326.44,2408.28,1,9.474345594961589,3332.905398341055,0.3332905398341055,WEAK_SIGNAL
ETHUSDT,A,2025-05-10 13:00:00,2025-05-11 01:00:00,2437.84,2532.87,1,10.0,3898.1229284940746,0.38981229284940744,WEAK_SIGNAL
ETHUSDT,A,2025-05-11 19:00:00,2025-05-12 08:00:00,2508.02,2577.55,1,10.0,2772.306440937489,0.27723064409374887,WEAK_SIGNAL
ETHUSDT,A,2025-05-13 07:00:00,2025-05-13 20:00:00,2460.72,2689.66,1,10.0,9303.781007184896,0.9303781007184897,WEAK_SIGNAL
ETHUSDT,A,2025-05-14 18:00:00,2025-05-15 06:00:00,2613.49,2573.64,1,10.0,-1524.7810399121486,-0.15247810399121486,WEAK_SIGNAL
ETHUSDT,A,2025-05-15 16:00:00,2025-05-16 04:00:00,2599.02,2573.99,1,9.700991394591792,-934.2591230796063,-0.09342591230796063,WEAK_SIGNAL
ETHUSDT,A,2025-05-16 05:00:00,2025-05-16 17:00:00,2594.6,2578.05,1,9.338002110720986,-595.6368416419864,-0.05956368416419864,WEAK_SIGNAL
ETHUSDT,A,2025-06-23 16:00:00,2025-06-23 20:00:00,2221.79,2347.13,-1,8.183134188735771,-4369.907245087156,-0.4369907245087156,SL
